net,sta,lat,lon
CH,BOURR,47.395,7.2313
CH,FIESA,46.43527,8.11043
CH,FUORN,46.62022,10.26352
CH,LIENZ,47.2946,9.4927
CH,SENIN,46.363350,7.299300
CH,GIMEL,46.53364,6.26545
